transaction_id,transaction_date,report_date,amount,sender_account,receiver_account,transaction_type,currency,channel,country_code
TXN00000001,2025-06-08 17:50:32.641615,2025-06-09 16:22:02.167563,402.87,JEYN9382KKZM,PJRHT7ZEWVIY,WIRE_TRANSFER,AUD,BRANCH,AU
TXN00000002,2025-07-27 03:41:32.641615,2025-07-27 11:49:58.880858,75.11,TRP0J43D5IQV,GGSNPUEVJLZF,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000003,2025-04-16 18:43:32.641615,2025-04-16 21:35:52.780831,225.55,CFILKJXJQ5NV,KGEUIDJIPNF8,DIRECT_DEBIT,AUD,ATM,AU
TXN00000004,2025-01-17 21:00:32.641615,2025-01-20 08:06:32.652278,675.72,WWIIF86LTHET,I9G5DZX5QJIC,CASH_WITHDRAWAL,AUD,ONLINE,AU
TXN00000005,2024-12-28 03:01:32.641615,2024-12-28 04:01:26.762037,30.54,YJXRPJ1EPKYR,F3Q0E27ZEOQG,ATM_WITHDRAWAL,AUD,BRANCH,AU
TXN00000006,2025-06-07 11:50:32.641615,2025-07-03 20:53:16.359335,1158.28,7ODKEF828XG8,3JONOU9IY4X4,WIRE_TRANSFER,AUD,,AU
TXN00000007,2025-01-16 11:48:32.641615,2025-01-17 05:13:16.486066,2.95,7DYPMLVAK9W9,OUZ1EGNTB34K,CHEQUE,AUD,ATM,AU
TXN00000008,2024-11-20 20:44:32.641615,2024-11-21 13:15:54.374728,1678.33,B2KNFTU2GC5W,KGEUIDJIPNF8,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000009,2025-02-21 00:57:32.641615,2025-02-22 22:23:05.528625,35.59,67J2DG1WJUII,AQVKIZZQY72W,ATM_WITHDRAWAL,AUD,MOBILE,AU
TXN00000010,2025-06-13 22:04:32.641615,2025-06-14 19:58:37.344924,25.99,JY1O2RNTJLMZ,KRZD5E9P3JPX,ATM_WITHDRAWAL,AUD,MOBILE,AU
TXN00000011,2025-01-05 04:54:32.641615,2025-01-28 13:21:01.981480,29.09,NB4GH2M5ZJA8,U8EL5015OOP7,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000012,2025-09-02 03:03:32.641615,2025-09-03 13:42:59.279605,8742.02,D14VE92MPNSM,MVXPJ4HNRIUU,WIRE_TRANSFER,AUD,ATM,AU
TXN00000013,2025-08-29 08:14:32.641615,2025-08-31 03:19:21.457457,178.28,25LZSE99F77L,YME6RPKZGGM0,CHEQUE,AUD,BRANCH,AU
TXN00000014,2024-12-26 15:40:32.641615,2025-01-09 23:50:05.316618,186.2,2SDS8B25SQ8C,VRCTLT4Q9BC2,CASH_DEPOSIT,AUD,BRANCH,AU
TXN00000015,2024-12-26 03:50:32.641615,2024-12-26 07:04:15.848871,60.32,5RLRDIHSA7HE,NEKRCPPRCJIW,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000016,2025-06-19 17:58:32.641615,2025-06-19 22:54:32.561647,614.72,8PAJSSUUQO1V,JDTVV2Y4XKSS,CASH_WITHDRAWAL,AUD,ONLINE,AU
TXN00000017,2025-06-02 00:40:32.641615,2025-06-04 08:00:27.973478,474.0,5BWIKOTCKEH5,9KWV08HHXFGC,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000018,2025-05-09 19:10:32.641615,2025-05-11 03:59:09.602637,2227.96,AXEQBNHL1N13,C856WPR97Y2L,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000019,2025-03-31 11:30:32.641615,2025-03-31 13:11:19.556680,105.2,YESU4FCL5EFJ,QQYZQII4W6OZ,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000020,2025-04-03 10:04:32.641615,2025-04-05 14:12:57.643607,80.59,F5GZPL1QWEEH,5RLRDIHSA7HE,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000021,2025-02-04 21:35:32.641615,2025-02-05 15:31:21.490925,442839.85,BMAE38SRYO4R,3JCZUCQMRUNJ,WIRE_TRANSFER,AUD,BRANCH,AU
