transaction_id,transaction_date,report_date,amount,sender_account,receiver_account,transaction_type,currency,channel,country_code
TXN00000001,2025-03-04 02:15:32.838962,2025-03-08 21:56:52.737382,1309.99,CJXC3XL9MT2S,OQX8PLPTMTJK,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000002,2025-01-25 12:34:32.838962,2025-01-25 18:35:17.724570,63.51,PT8WD4QSIM4A,A6I2B3EMJ7XJ,CHEQUE,AUD,BRANCH,AU
TXN00000003,2025-02-28 23:52:32.838962,2025-03-02 15:14:47.173287,96.98,MTBD3SJW11TT,EWTEMHHLNHMY,CASH_DEPOSIT,AUD,,AU
TXN00000004,2024-11-16 07:47:32.838962,2024-11-16 14:43:28.684368,104.8,FPC6XE0WBT5V,WEU937CP2KQI,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000005,2025-04-26 03:56:32.838962,2025-04-29 01:02:53.454903,38.69,OQX8PLPTMTJK,TJRQYAFV3Y2W,CASH_WITHDRAWAL,AUD,ATM,AU
TXN00000006,2025-03-11 03:57:32.838962,2025-03-15 13:17:38.362442,34.61,K0VWXJVH7DT6,7O8W9H6BBHBO,DIRECT_DEBIT,AUD,ATM,AU
TXN00000007,2025-10-23 05:38:32.838962,2025-10-25 21:45:12.395004,72.87,KD5AUB8D0FBF,UYSIHX23XXZD,CASH_WITHDRAWAL,AUD,ATM,AU
TXN00000008,2025-02-08 23:22:32.838962,2025-02-11 22:27:25.266749,55.46,0ZJEQKWA8JVY,0ZJEQKWA8JVY,CHEQUE,AUD,MOBILE,AU
TXN00000009,2025-05-07 02:43:32.838962,2025-05-12 00:50:31.119760,1794.09,NHEM42158JYS,O85BEJBJVSTI,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000010,2025-03-31 16:35:32.838962,2025-04-01 17:44:33.648220,30.66,SYX0G87LSS17,1DL5185A76J3,CHEQUE,AUD,MOBILE,AU
TXN00000011,2025-08-17 22:52:32.838962,2025-08-18 17:27:13.533394,0.0,W4QV1MCJYHSZ,TPKARTCVBZAG,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000012,2024-12-25 14:46:32.838962,2024-12-26 15:21:45.731914,139.26,IF9JL3ZQUQG3,IF9JL3ZQUQG3,CARD_PAYMENT,AUD,ONLINE,AU
TXN00000013,2025-08-10 01:59:32.838962,2025-08-10 21:40:12.715721,1651.79,QRA3JKP79YIO,GJTAOEVLK5R3,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000014,2025-04-01 01:31:32.838962,2025-04-04 07:42:33.501639,222.11,LO650QGEOXN4,LO650QGEOXN4,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000015,2025-04-04 15:06:32.838962,2025-04-07 03:11:44.540801,80.74,RJL5QCWSMMHV,NEUQAQ0IW99W,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000016,2025-09-15 12:39:32.838962,2025-09-16 01:56:41.246881,59.07,2JAVHXQL9T27,TLD858A5EY2B,CARD_PAYMENT,AUD,MOBILE,AU
TXN00000017,2025-10-07 15:25:32.838962,2025-10-08 12:46:31.328395,0.0,WT19FWPA4RLU,Q28MS8XL7627,CHEQUE,AUD,ONLINE,AU
TXN00000018,2025-05-12 05:36:32.838962,2025-05-13 06:11:57.947197,292.89,A6I2B3EMJ7XJ,K9Z3BN5HTL8S,CARD_PAYMENT,AUD,,AU
TXN00000019,2025-11-29 20:52:32.840078,2025-07-20 15:56:02.962224,347.7,MBOBNUJ7QAB2,X05JOMMRR2XH,CASH_DEPOSIT,AUD,MOBILE,AU
TXN00000020,2025-06-14 15:10:32.838962,2025-06-18 04:47:46.491999,-9101.04,G15MFL86IJT8,M93IWUG6RTRE,CASH_DEPOSIT,AUD,ATM,AU
TXN00000021,2025-02-09 21:14:32.838962,2025-02-11 06:35:51.379966,7436.49,U8XHFMM8X143,U5JFNE5PQN7F,WIRE_TRANSFER,AUD,BRANCH,AU
TXN00000022,2025-05-10 17:53:32.838962,2025-05-11 08:00:47.923349,2903.05,ZT9KOFSVVSGS,7424DYGER64M,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000023,2025-11-10 20:52:32.840115,2025-08-18 04:37:38.843759,1014.75,U5JFNE5PQN7F,VSV7UDRPCMSQ,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000024,2025-10-07 01:26:32.838962,2025-10-08 20:42:42.157751,60.9,29O2NBN7OWS5,08LN27241MDH,CASH_DEPOSIT,AUD,BRANCH,AU
TXN00000025,2024-11-11 09:12:32.838962,2024-11-13 17:56:35.595306,111.04,3OJ5T5TKJHQ4,VIZHTFO0QSG7,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000026,2025-09-07 11:02:32.838962,2025-09-07 14:52:46.226110,2188.42,V684O5LYBEHG,KEXPF1PIW1PH,CHEQUE,AUD,ATM,AU
TXN00000027,2025-01-30 18:41:32.838962,2025-02-01 03:35:08.281996,-927.5,WGGWGDMIKBQV,Q9IUQNIPNIM2,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000028,2025-06-03 22:15:32.838962,2025-06-04 07:55:05.365527,15.17,OXT76PS42ENM,WAAWVRTL8RG2,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000029,2025-01-30 06:31:32.838962,2025-01-31 06:33:39.090919,44.74,BQI3NMH16AFD,F81M1Q3RL8QX,DIRECT_DEBIT,AUD,,AU
