transaction_id,transaction_date,report_date,amount,sender_account,receiver_account,transaction_type,currency,channel,country_code
TXN00000001,2025-05-02 14:03:32.735570,2025-05-06 22:59:49.487733,123.24,GN938KY4YUOW,YFTLXBWLWM5J,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000002,2025-01-25 23:29:32.735570,2025-01-28 00:15:46.884094,82.91,0JZCBFFBFL1H,969PSDC63H0A,CHEQUE,AUD,BRANCH,AU
TXN00000003,2025-08-31 20:28:32.735570,2025-09-01 04:01:54.355265,647.71,SQHACMEYP17X,NLNCJ7XZY0UQ,CASH_WITHDRAWAL,AUD,ATM,AU
TXN00000004,2025-02-20 11:19:32.735570,2025-02-21 06:42:59.096079,321.13,JQWYS36EYFA2,SDIK6GS0JVC9,ATM_WITHDRAWAL,AUD,,AU
TXN00000005,2025-05-03 10:51:32.735570,2025-05-04 21:10:45.204493,4.22,T4LHBALHJHJ3,7AG3YN2YJW20,CHEQUE,AUD,ATM,AU
TXN00000006,2025-07-18 10:18:32.735570,2025-07-20 00:13:06.432001,92.55,4YUR03IQHYCV,2CW9J51KPSZ6,DIRECT_DEBIT,AUD,BRANCH,AU
TXN00000007,2025-04-19 00:27:32.735570,2025-04-19 18:41:34.678878,0.0,7KENH3I6WTL0,D3BMYU8TN8FQ,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000008,2025-03-29 06:56:32.735570,2025-04-20 00:10:23.813199,116242.9,1TYJAVF61DM7,T4EIF5S4JD1A,WIRE_TRANSFER,AUD,ATM,AU
TXN00000009,2025-06-05 13:21:32.735570,2025-07-03 00:11:54.800196,1357.43,VMY7TWY6H7TN,IIXRRMVCDWX9,CARD_PAYMENT,AUD,MOBILE,AU
TXN00000010,2025-09-18 07:54:32.735570,2025-09-19 22:07:41.573217,204.99,5WC9F2TBW4PY,0F8NUIX6HT3I,CHEQUE,AUD,MOBILE,AU
TXN00000011,2025-06-01 21:36:32.735570,2025-06-13 15:18:04.128104,18.53,8AO1WXLCIU4B,50ZFGGJAOYU5,CARD_PAYMENT,AUD,ONLINE,AU
TXN00000012,2025-07-22 07:54:32.735570,2025-07-23 23:58:49.694801,417.94,TNTYESTAZALH,2MKNKJ20Z0E6,WIRE_TRANSFER,AUD,ATM,AU
TXN00000013,2024-11-06 17:32:32.735570,2024-11-10 16:47:15.527720,90.98,Z9KVEADCT1ZH,327KJO7RJTMG,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000014,2025-01-01 02:41:32.735570,2025-01-01 13:16:54.718036,341.73,VVQFN0IZH88R,Z9VX4XSQ60MV,CASH_DEPOSIT,AUD,ATM,AU
TXN00000015,2025-03-21 19:44:32.735570,2025-03-24 12:55:11.920328,121.51,ANMVTVOAV41B,91XSD0NKVDKI,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000016,2025-04-20 19:58:32.735570,2025-04-22 09:59:05.105585,514.51,9FB4TD3HTY61,OETP5XMUFU7X,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000017,2025-09-23 23:12:32.735570,2025-09-30 07:16:24.121160,68.82,6DZF9WTDNAPG,QL2TBER5XEJ2,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000018,2025-08-12 07:06:32.735570,2025-08-15 05:34:40.209796,47.21,GW9BEJAM4RCE,VBQKUW37J9GG,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000019,2025-08-25 16:32:32.735570,2025-08-25 18:06:36.105900,132.02,Z9KVEADCT1ZH,OJL9OK165DV6,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000020,2025-09-04 08:06:32.735570,2025-09-06 19:38:27.792513,84.77,CZWI87JLGTVX,JJDH2UDX1ZFM,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000021,2025-01-18 01:27:32.735570,2025-01-22 18:27:31.307033,,W8WBZO547GFP,KCUM8SMQP72T,DIRECT_DEBIT,AUD,BRANCH,AU
TXN00000022,2024-12-09 13:57:32.735570,2024-12-11 23:25:37.354356,27.08,8F1BOM17OCE3,BXL30KASZBVY,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000023,2025-01-06 23:10:32.735570,2025-01-12 03:17:00.595207,74.53,A6R0AMC69RSW,GQ8DPMVI1V0I,CARD_PAYMENT,AUD,BRANCH,AU
TXN00000024,2025-08-22 14:31:32.735570,2025-08-22 19:46:31.069376,8.07,F9AWRZVZZG9B,8UI5MGAB1W1H,ATM_WITHDRAWAL,AUD,ATM,AU
TXN00000025,2025-10-16 07:30:32.735570,2025-10-16 22:42:30.027051,287.99,TCP2R7DOYFY5,I7ZC7BKSKI19,DIRECT_DEBIT,AUD,MOBILE,AU
TXN00000026,2025-10-04 04:55:32.735570,2025-10-28 07:15:13.378260,188.23,084DEHNSB02L,ODU68459696E,CHEQUE,AUD,ONLINE,AU
TXN00000027,2025-03-20 18:10:32.735570,2025-03-21 19:10:52.875420,127.3,7NAQGU5IO8VE,7NAQGU5IO8VE,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000028,2024-11-14 18:24:32.735570,2024-11-17 00:42:35.447780,136.75,CY7B0U2HVMBN,EZT9LNBOHUXS,ATM_WITHDRAWAL,AUD,MOBILE,AU
TXN00000029,2025-04-19 05:28:32.735570,2025-05-08 12:46:42.623272,824.36,VVQFN0IZH88R,PNX4YK1W031M,CARD_PAYMENT,AUD,ATM,AU
TXN00000030,2025-04-14 00:13:32.735570,2025-04-14 12:50:30.536772,20731.77,RJAE8QK4Z91P,5WC9F2TBW4PY,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000031,2025-05-14 11:40:32.735570,2025-05-14 12:06:19.769150,411.95,CE5YCN31LYCF,STAVPIAGF9AH,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000032,2025-10-07 21:46:32.735570,2025-10-08 07:48:33.631615,1381.78,NP7WLYUYRJ55,ZHX14A80Q15F,WIRE_TRANSFER,AUD,ATM,AU
TXN00000033,2025-01-02 03:40:32.735570,2025-01-03 10:00:54.602638,4168.16,QV9K6L7J4V9E,MZ9HGNA0B6NW,WIRE_TRANSFER,AUD,,AU
TXN00000034,2025-05-19 16:12:32.735570,2025-05-21 20:21:28.964215,41.74,3SD2GNIIB1B8,AYE8S2WCZ5G1,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000035,2025-07-12 11:39:32.735570,2025-07-30 16:05:18.258518,1511.16,ZYG8CV71E4FM,Z08N0XCS16AH,CHEQUE,AUD,MOBILE,AU
TXN00000036,2025-09-08 17:59:32.735570,2025-09-10 07:13:17.568207,764.99,GBUHZOCJECB4,QJIT6F5Q4MYI,CARD_PAYMENT,AUD,ATM,AU
TXN00000037,2025-09-07 21:19:32.735570,2025-09-08 05:10:24.708709,47.18,FLVTQQQT0YGS,CZWI87JLGTVX,ATM_WITHDRAWAL,AUD,MOBILE,AU
TXN00000038,2025-01-07 20:52:32.735570,2025-01-07 21:29:48.924409,261.81,89NADHE709HK,TCSZY0RCNJ6B,CASH_DEPOSIT,AUD,ATM,AU
TXN00000039,2025-05-12 15:37:32.735570,2025-05-14 09:17:07.560367,43.08,TDCL3AH4EM5G,ACCHO6V8CO2J,CHEQUE,AUD,MOBILE,AU
TXN00000040,2025-02-19 19:08:32.735570,2025-02-20 05:26:09.116127,1033.2,JZ9BO4F6T8RB,ODN65SWSFL04,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000041,2025-02-18 12:14:32.735570,2025-02-20 21:22:32.955163,455.37,8U3LQ28QAQX9,1R0DN952B5IK,CHEQUE,AUD,BRANCH,AU
TXN00000042,2025-03-10 20:26:32.735570,2025-03-12 04:31:31.505463,19.34,GFM9NRAUZ73B,VR4FJSBNU69I,DIRECT_DEBIT,AUD,BRANCH,AU
TXN00000043,2025-08-20 12:57:32.735570,2025-08-21 22:31:33.017034,16.32,6TP9QOPWSUQF,STAVPIAGF9AH,DIRECT_DEBIT,AUD,BRANCH,AU
TXN00000044,2025-01-06 20:06:32.735570,2025-01-06 23:58:17.440395,28.63,XXEGLZIUBHUH,PNX4YK1W031M,CARD_PAYMENT,AUD,ONLINE,AU
TXN00000045,2025-02-20 02:58:32.735570,2025-02-20 15:11:44.339936,3042.42,1XW4SPI0VP1D,1FVQFBDPWC1D,CASH_DEPOSIT,AUD,MOBILE,AU
TXN00000046,2024-12-26 01:23:32.735570,2024-12-26 17:02:57.200990,156.82,K2V014JPONZV,TNTYESTAZALH,ATM_WITHDRAWAL,AUD,MOBILE,AU
TXN00000047,2025-09-17 16:54:32.735570,2025-09-18 23:45:09.895857,202.58,2RUP7FAHIAPJ,TBY76SW1YK83,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000048,2025-02-02 19:55:32.735570,2025-02-08 01:58:28.097636,606.45,F9AWRZVZZG9B,D129KZ24I11Q,CASH_DEPOSIT,AUD,ATM,AU
TXN00000049,2025-10-09 19:07:32.735570,2025-10-10 01:34:52.669040,225.79,1V8PDEWD6L5H,084DEHNSB02L,WIRE_TRANSFER,AUD,BRANCH,AU
TXN00000050,2025-06-06 05:29:32.735570,2025-06-07 09:56:47.832975,100499.16,2SLR4EHMW5MX,2SLR4EHMW5MX,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000051,2025-10-14 07:31:32.735570,2025-10-15 05:21:50.407298,30548.73,N6GOQSY9ISIW,KWQZZGUS8P6W,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000052,2025-07-25 06:02:32.735570,2025-07-25 09:51:14.182646,,761SNBC5ADVG,M8OSVC1U5W2K,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000053,2025-09-22 00:07:32.735570,2025-09-22 07:11:28.936116,3755.34,2W9O8479R113,GQ8DPMVI1V0I,DIRECT_DEBIT,AUD,ONLINE,AU
TXN00000054,2024-12-06 07:39:32.735570,2024-12-11 19:30:43.292449,268.97,QV9K6L7J4V9E,FWJ6JYIDR6X0,CHEQUE,AUD,BRANCH,AU
TXN00000055,2025-07-18 04:06:32.735570,2025-07-18 16:23:21.130967,78.12,7HCJTAQVO6IB,LI5GHXCX8G4X,CASH_WITHDRAWAL,AUD,ONLINE,AU
TXN00000056,2025-01-27 21:57:32.735570,2025-01-29 09:48:40.148783,132.89,O3K5WUIH2JYH,W6A718FVX9PD,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000057,2025-09-17 10:27:32.735570,2025-09-19 01:39:49.825889,0.0,TNAGNIDP3LDJ,VVQFN0IZH88R,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000058,2025-09-25 22:18:32.735570,2025-09-27 02:39:03.073629,142.52,FFWS890YMT0W,X2X02BN0I97E,CHEQUE,AUD,ONLINE,AU
TXN00000059,2025-03-22 21:21:32.735570,2025-03-24 03:44:15.371408,46.65,IIXRRMVCDWX9,DZV19547KPUW,DIRECT_DEBIT,AUD,,AU
TXN00000060,2025-10-13 03:16:32.735570,2025-10-13 17:50:02.467070,118.66,DLSZATDFNMDL,U43LC6JWCZ3B,CHEQUE,AUD,ONLINE,AU
TXN00000061,2025-04-24 22:32:32.735570,2025-04-28 22:20:53.275479,11814.62,A6R0AMC69RSW,OCMQXTJBLDWV,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000062,2025-08-10 19:48:32.735570,2025-08-11 01:23:04.521411,35.49,NMCE4PEVH4QL,9QGUY2N3NFC3,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000063,2025-08-02 06:24:32.735570,2025-08-03 07:36:22.848533,66.64,R7CX7M59PCYD,G24AF8QMQHZW,CHEQUE,AUD,,AU
TXN00000064,2025-09-06 11:01:32.735570,2025-09-06 16:42:27.846335,7.47,OJL9OK165DV6,D8VU7JCSJPKB,CARD_PAYMENT,AUD,BRANCH,AU
TXN00000065,2025-04-02 12:08:32.735570,2025-04-03 00:16:22.834010,44.42,WPMIB2I98NKH,W8WBZO547GFP,CASH_WITHDRAWAL,AUD,ATM,AU
TXN00000066,2025-06-04 04:28:32.735570,2025-06-06 05:48:23.368276,18017.71,7KENH3I6WTL0,VMY7TWY6H7TN,WIRE_TRANSFER,AUD,ATM,AU
TXN00000067,2024-12-27 06:11:32.735570,2024-12-28 15:17:00.236614,550.07,8U3LQ28QAQX9,KP90NE6YIWDS,CARD_PAYMENT,AUD,,AU
TXN00000068,2025-07-27 23:43:32.735570,2025-08-01 13:08:36.596391,128.82,6T7CYX97I98U,GW5F6Y1NM793,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000069,2025-04-07 09:12:32.735570,2025-04-09 11:44:32.907213,239.71,XXEGLZIUBHUH,RSW2VTCODAIZ,CHEQUE,AUD,ATM,AU
TXN00000070,2025-03-06 23:22:32.735570,2025-03-09 03:28:19.250570,12.26,W6A718FVX9PD,89NADHE709HK,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000071,2025-02-28 10:36:32.735570,2025-03-05 20:53:32.067338,39.99,C5HDFUB4RC05,8JVRQVQLQ93B,CARD_PAYMENT,AUD,ONLINE,AU
TXN00000072,2025-07-13 12:22:32.735570,2025-07-16 15:16:57.484857,83.02,WAQAUR58X9QY,CO1RYWYMCS3Y,CASH_DEPOSIT,AUD,ATM,AU
TXN00000073,2025-03-14 01:02:32.735570,2025-03-14 02:45:42.303889,1200.1,0W7TUA9GYDBX,S902A0NW60JS,CASH_DEPOSIT,AUD,BRANCH,AU
TXN00000074,2025-02-18 13:35:32.735570,2025-02-18 16:32:38.188348,27.68,8ZA2OBX9XK2J,T510LK872PK6,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000075,2025-02-06 04:47:32.735570,2025-02-08 00:22:21.973746,9267.77,2RUP7FAHIAPJ,ZXRAZMSAB3BV,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000076,2025-07-07 22:35:32.735570,2025-07-26 12:47:55.822946,297.35,ZYWDV5QIN7ZX,WEUZ1KHLUEFC,CASH_DEPOSIT,AUD,MOBILE,AU
TXN00000077,2025-06-27 03:06:32.735570,2025-06-28 01:33:06.471376,363.45,52GWA654NVGU,ZDKCL7G9JNPA,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000078,2025-09-29 11:15:32.735570,2025-09-30 14:15:36.171126,1892.36,6N7HMQDMJ9IX,0F8NUIX6HT3I,CHEQUE,AUD,MOBILE,AU
TXN00000079,2025-03-01 01:57:32.735570,2025-03-02 03:02:27.784744,298.92,O9QESOS0ZXKQ,JS7YUCF6WXQG,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000080,2024-12-07 14:25:32.735570,2024-12-09 21:19:48.467510,133.87,GBUHZOCJECB4,39LLU5BO8124,CHEQUE,AUD,BRANCH,AU
TXN00000081,2025-08-03 00:50:32.735570,2025-09-01 02:53:03.310085,40.25,OCMQXTJBLDWV,WP73WUQAYGI0,CHEQUE,AUD,MOBILE,AU
TXN00000082,2025-11-04 14:07:32.735570,2025-11-04 20:34:28.201998,181.01,VOBVOLIYZICX,W6YZ7RY21G6Y,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000083,2025-02-16 18:50:32.735570,2025-02-18 01:48:16.277810,54.43,S6LD2T8YFOTU,5KRNM7TH9IIU,DIRECT_DEBIT,AUD,ATM,AU
TXN00000084,2025-02-14 03:10:32.735570,2025-02-18 04:48:08.611126,1162.39,UHR5D7HFVSV3,8ZA2OBX9XK2J,CARD_PAYMENT,AUD,MOBILE,AU
TXN00000085,2025-01-10 16:52:32.735570,2025-01-11 16:21:46.055008,221.5,WEUZ1KHLUEFC,VLDHP3A0MQ4X,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000086,2025-02-08 06:01:32.735570,2025-02-11 12:29:27.940214,357.58,E1BF1VGM3LM8,LDXZFLMR19IK,CASH_DEPOSIT,AUD,BRANCH,AU
TXN00000087,2024-11-18 16:33:32.735570,2024-12-13 11:58:56.667587,43.68,MIKWMVW9KQKE,JMIC97SZPL56,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000088,2025-02-27 01:10:32.735570,2025-03-01 23:15:09.103380,1438.07,TCSZY0RCNJ6B,4UZIIFLNWROV,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000089,2025-02-01 06:08:32.735570,2025-02-02 21:50:02.884264,64.04,CO1RYWYMCS3Y,CEQ4XYPPHV9O,CASH_DEPOSIT,AUD,BRANCH,AU
TXN00000090,2025-01-13 23:50:32.735570,2025-01-14 15:41:15.183541,206.18,0M3I1689WANT,L6BIV0Z5ZPXE,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000091,2025-09-08 22:55:32.735570,2025-09-10 10:17:23.548540,22.48,OTUAMDB93QXG,7RYC2TE8ECZG,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000092,2025-07-05 02:09:32.735570,2025-07-05 06:34:04.042662,53.31,3SD2GNIIB1B8,BYWCYBO1Y97J,CHEQUE,AUD,MOBILE,AU
TXN00000093,2025-05-21 15:29:32.735570,2025-05-21 23:37:04.009678,11792.9,G24AF8QMQHZW,77MCKUM88BW6,WIRE_TRANSFER,AUD,ONLINE,AU
TXN00000094,2024-12-18 23:51:32.735570,2024-12-19 02:06:40.042878,606.94,NNW139MXFGBL,50ZFGGJAOYU5,CARD_PAYMENT,AUD,BRANCH,AU
TXN00000095,2025-06-12 09:14:32.735570,2025-06-12 20:09:02.763673,101.93,33BQ85UVLYAB,RQVZYIE8MYLA,WIRE_TRANSFER,AUD,BRANCH,AU
TXN00000096,2024-12-02 08:09:32.735570,2024-12-05 19:20:38.025872,9419.75,NLNCJ7XZY0UQ,77MCKUM88BW6,WIRE_TRANSFER,AUD,MOBILE,AU
TXN00000097,2024-12-06 00:34:32.735570,2024-12-09 02:21:18.003076,507.31,FFWS890YMT0W,MN9ZTDY61AA0,CASH_DEPOSIT,AUD,ATM,AU
TXN00000098,2024-12-22 20:54:32.735570,2025-01-09 14:09:29.368350,617.49,NLNCJ7XZY0UQ,UCZG3RI0YARU,CARD_PAYMENT,AUD,ATM,AU
TXN00000099,2025-03-08 15:41:32.735570,2025-03-10 12:24:27.787349,137.95,HRQV9W2ZZS7C,KMB5OQNRSHFC,CARD_PAYMENT,AUD,MOBILE,AU
TXN00000100,2025-09-28 23:39:32.735570,2025-09-29 12:05:05.686620,101.32,KP90NE6YIWDS,VFNIE9LAODEZ,CASH_WITHDRAWAL,AUD,BRANCH,AU
TXN00000101,2025-05-23 04:47:32.735570,2025-06-05 17:26:38.497390,533.88,89NADHE709HK,7NW03VM1U0MR,CASH_DEPOSIT,AUD,MOBILE,AU
TXN00000102,2025-02-13 12:00:32.735570,2025-02-13 18:07:48.844107,288.91,Z2DCPGANL816,3X2FFA489CBI,WIRE_TRANSFER,AUD,BRANCH,AU
TXN00000103,2025-02-19 19:57:32.735570,2025-03-09 10:40:15.317456,1103.16,7T939A6SPZD1,P6J3VME942HQ,CASH_DEPOSIT,AUD,MOBILE,AU
TXN00000104,2025-10-16 06:27:32.735570,2025-10-16 22:25:58.165684,231.9,6T7CYX97I98U,SVS1VUCAHOGF,CASH_DEPOSIT,AUD,ONLINE,AU
TXN00000105,2025-04-21 06:46:32.735570,2025-04-24 13:30:13.709454,53.99,EP91OXJCBYHG,Q5IMLX6VYM6Q,CARD_PAYMENT,AUD,ATM,AU
TXN00000106,2025-07-17 09:06:32.735570,2025-07-17 19:22:14.216287,35.94,K2V014JPONZV,Z2DCPGANL816,CARD_PAYMENT,AUD,ATM,AU
TXN00000107,2025-09-05 22:05:32.735570,2025-09-06 12:49:21.308836,774.42,DZZC5A8SM0D4,WEUZ1KHLUEFC,CASH_DEPOSIT,AUD,ATM,AU
TXN00000108,2025-01-26 03:20:32.735570,2025-01-27 04:20:05.099508,713.84,88RFK2K0JJ4U,WF3V47XOL1IV,CASH_WITHDRAWAL,AUD,MOBILE,AU
TXN00000109,2025-01-09 02:18:32.735570,2025-01-16 05:07:16.959070,308.07,SAZWVMPGZBLJ,G0S0U50AP1WN,CARD_PAYMENT,AUD,MOBILE,AU
TXN00000110,2025-09-02 21:09:32.735570,2025-09-03 07:39:56.284755,52.65,ACCHO6V8CO2J,7KENH3I6WTL0,ATM_WITHDRAWAL,AUD,ONLINE,AU
TXN00000111,2025-04-05 20:40:32.735570,2025-04-10 13:28:46.487274,3138.29,3SD2GNIIB1B8,OR1ATI2HUXMO,WIRE_TRANSFER,AUD,ATM,AU
TXN00000112,2025-01-20 08:10:32.735570,2025-01-21 10:34:33.395884,93.69,QFVFA5QUB00M,MXCPXCX1W80W,CHEQUE,AUD,MOBILE,AU
TXN00000113,2024-12-18 16:45:32.735570,2024-12-20 04:30:04.009854,6.05,,YFTLXBWLWM5J,DIRECT_DEBIT,AUD,ATM,AU
